date,time,location,two_wheeler,four_wheeler,heavy_vehicle,emergency_vehicle
2025-01-01,08:00:00,Junction A,189,118,2,2
2025-01-01,08:05:00,West Signal,180,25,3,1
2025-01-01,08:10:00,Junction A,179,88,38,0
2025-01-01,08:15:00,Junction B,62,59,30,0
2025-01-01,08:20:00,City Center,185,60,30,2
2025-01-01,08:25:00,West Signal,157,108,11,2
2025-01-01,08:30:00,Junction B,144,139,4,2
2025-01-01,08:35:00,Junction B,39,17,25,0
2025-01-01,08:40:00,Junction B,164,76,7,2
2025-01-01,08:45:00,City Center,95,63,25,2
2025-01-01,08:50:00,City Center,181,91,10,1
2025-01-01,08:55:00,West Signal,21,132,15,1
2025-01-01,09:00:00,Highway Gate 1,190,58,22,0
2025-01-01,09:05:00,West Signal,68,132,9,2
2025-01-01,09:10:00,Junction A,29,128,10,0
2025-01-01,09:15:00,Highway Gate 1,44,100,18,1
2025-01-01,09:20:00,Junction B,102,76,40,0
2025-01-01,09:25:00,Highway Gate 1,136,71,9,0
2025-01-01,09:30:00,Junction B,125,112,33,2
2025-01-01,09:35:00,Junction A,91,33,33,2
2025-01-01,09:40:00,West Signal,149,79,15,1
2025-01-01,09:45:00,West Signal,33,81,5,1
2025-01-01,09:50:00,Junction B,130,51,34,1
2025-01-01,09:55:00,City Center,125,142,23,1
2025-01-01,10:00:00,Highway Gate 1,79,39,7,0
2025-01-01,10:05:00,Junction A,120,136,19,2
2025-01-01,10:10:00,City Center,148,75,26,1
2025-01-01,10:15:00,City Center,127,112,31,1
2025-01-01,10:20:00,West Signal,49,55,25,0
2025-01-01,10:25:00,City Center,97,86,16,0
2025-01-01,10:30:00,West Signal,77,23,6,1
2025-01-01,10:35:00,West Signal,66,71,27,1
2025-01-01,10:40:00,Junction A,83,125,21,1
2025-01-01,10:45:00,Highway Gate 1,94,61,30,0
2025-01-01,10:50:00,Junction A,175,36,20,2
2025-01-01,10:55:00,Junction A,61,44,1,1
2025-01-01,11:00:00,Junction A,84,98,12,2
2025-01-01,11:05:00,Highway Gate 1,142,34,6,0
2025-01-01,11:10:00,City Center,145,12,38,2
2025-01-01,11:15:00,West Signal,98,106,23,0
2025-01-01,11:20:00,West Signal,146,66,4,0
2025-01-01,11:25:00,Junction A,193,124,0,2
2025-01-01,11:30:00,Junction B,114,134,26,1
2025-01-01,11:35:00,Highway Gate 1,24,39,24,2
2025-01-01,11:40:00,Junction B,130,121,10,0
2025-01-01,11:45:00,Highway Gate 1,177,99,0,2
2025-01-01,11:50:00,Junction A,105,90,1,1
2025-01-01,11:55:00,City Center,197,111,7,1
2025-01-01,12:00:00,Junction B,71,100,12,1
2025-01-01,12:05:00,Highway Gate 1,176,136,12,2
